"record_number","project","record_id","date","loc_region","catch_site","catch_site_acc","lat","long","sex","f_w","f_tl","f_sl","f_hl","f_condition","o_picture","o_de","o_le","o_wi","o_td","o_we","o_side","o_condition","obs","o_obs"
18,"Baja","SG-EN-170610-05",2017-06-10,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,"Immature",11.8,90,NA,21,"Eviscerated","YES",1.72,15.19,7.76,3.48,0.2331,"L","Fine",NA,"Fine"
19,"Baja","SG-EN-170610-06",2017-06-10,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,"Immature",5.8,70,NA,16,"Eviscerated","YES",1.5,14.89,6.64,2.46,0.1354,"L","Fine",NA,"Fine"
51,"Baja","SG-EN-170612-01",2017-06-12,"Mx_Pacific_Central","Laguna San Ignacio","Medium",26.559731,-113.084641,"Immature",7,79.5,NA,NA,"Whole","YES",1.66,17.33,7.16,NA,0.1739,"L","Broken",NA,"otolith broken and missing tip/incomplete length and total depth"
52,"Baja","SG-EN-170612-02",2017-06-12,"Mx_Pacific_Central","Laguna San Ignacio","Medium",26.559731,-113.084641,NA,NA,NA,NA,24,"Head","NO",1.7,17.93,8.52,3.71,0.2805,"R","Fine",NA,"Fine"
53,"Baja","SG-EN-170612-03",2017-06-12,"Mx_Pacific_Central","Laguna San Ignacio","Medium",26.559731,-113.084641,NA,NA,NA,NA,24.5,"Head","YES",1.8,16.2,8.03,3.06,0.2277,"L","Fine",NA,"Fine"
62,"Baja","SG-EN-170617-01",2017-06-17,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,"Immature",12.5,95,80,NA,"Eviscerated","YES",1.66,17.11,7.93,3.66,0.2263,"L","Fine",NA,"Fine"
25,"Baja","SG-EN-170623-01",2017-06-23,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,"Immature",4.54,70,NA,20,"Eviscerated","YES",1.69,13.5,6.96,2.97,0.1407,"L","Fine",NA,"Fine"
26,"Baja","SG-EN-170623-02",2017-06-23,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,"Immature",3.4,63,NA,16,"Eviscerated","YES",1.57,13.82,6.53,2.82,0.1243,"L","Fine",NA,"Fine"
27,"Baja","SG-EN-170623-03",2017-06-23,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,"Immature",5.2,72,NA,22,"Eviscerated","NO",1.5,13.94,6.55,1.68,0.1382,"R","Broken",NA,"broken tip"
28,"Baja","SG-EN-170701-01",2017-07-01,"Mx_Pacific_Central","Guerrero Negro","Low",28.029533,-114.339297,"Immature",6.1,74,NA,19,"Eviscerated","YES",1.85,14.32,7.29,2.73,0.1491,"L","Fine",NA,"Fine"
